,Unnamed: 0,ifm_start,ifm_peak_freq_resolution,ifm_terminal_frequency,ifm_duration,ifm_peak_frequency,ifm_rms,ifm_stop,ifm_peak_amplitude,ifm_region_id,cf_start,cf_peak_freq_resolution,cf_terminal_frequency,cf_duration,cf_peak_frequency,cf_rms,cf_stop,cf_peak_amplitude,cf_region_id,tfm_start,tfm_peak_freq_resolution,tfm_terminal_frequency,tfm_duration,tfm_peak_frequency,tfm_rms,tfm_stop,tfm_peak_amplitude,tfm_region_id,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution,ifm-cf_dbratio,tfm-cf_dbratio,ifm-peak_db,tfm-peak_db,tfm_dbrms,ifm_dbrms,cf_dbrms,cf-peak_db,ifm_rmsdb,tfm_rmsdb,cf_rmsdb,ifm_bw,tfm_bw,annot_end_time,annot_start_time,posix_end_time,posix_start_time,groupsize
20,2,,,,,,,,,,0.001288,130.54830287206266,105184.12118046486,15.315999999999999,105.37999477670411,0.025482519344664386,0.016604,0.052093505859375,cf1,0.016604,692.5207756232687,88.76560332871011,2.884,103675.4507628294,0.015163151758899544,0.019488,0.0428466796875,fm1,segment_matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,-10,Aditya_2018-08-16_21502300_102,1,,,,,-4.509057619675175,,-27.36165654331863,-36.384210368231756,,-31.875152748556594,-25.664328276899692,,-36.38421036823176,-31.87515274855659,,16.614391447993984,2018-08-16 22:55:41,2018-08-16 22:55:40,1534452941.0,1534452940.0,single
21,3,0.000668,1141.552511415525,95.75688073394495,1.7440000000000002,103211.00917431193,0.14970786853880247,0.002412,0.26312255859375,fm1,0.002412,130.1405517959396,106966.14583333334,15.360000000000001,107.09635416666669,0.268992377568324,0.017772,0.44232177734375,cf1,0.017772,871.0801393728223,92.05933682373474,2.2920000000000003,102966.84118673648,0.17580923579717914,0.020064,0.301177978515625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,-10,Aditya_2018-08-16_21502300_104,1,,,,-5.089906928629176,-3.6939657485481447,-11.596838328836975,-10.423535719730953,-15.099166276895389,-16.495107456976427,-11.405200528347244,-7.085233559549169,-16.495107456976424,-15.099166276895392,-11.405200528347246,11.33947343272173,15.037017342931955,2018-08-16 22:56:41,2018-08-16 22:56:40,1534453001.0,1534453000.0,single
22,4,4.8e-05,1677.8523489932886,99.32659932659932,1.188,106060.60606060603,0.011683159813738929,0.001236,0.0228271484375,fm1,0.001236,146.88601645123384,106701.94003527338,13.608000000000002,106.84891240446797,0.028760863238608093,0.014844,0.0535888671875,cf1,0.014844,862.0689655172414,97.15025906735752,2.316,103195.16407599306,0.019185194914805092,0.017159999999999998,0.046630859375,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp,-10,Aditya_2018-08-16_21502300_108,2,,,,-6.331957955223117,-8.414054442469025,-27.190138339757624,-30.413859807441803,-37.55891717240714,-35.47682068516124,-29.14486272993811,-22.965608928500746,-38.64879365118472,-34.34067568329372,-30.823961660541226,7.522313077868646,9.698653337110445,2018-08-16 22:57:14,2018-08-16 22:57:13,1534453034.0,1534453033.0,multiple
23,5,,,,,,,,,,0.000956,111.9068934646374,105383.92657264383,17.868000000000002,105.55182449070962,0.04206609157944563,0.018824,0.0931396484375,cf1,0.018824,1168.2242990654206,92.13615023474179,1.704,102699.53051643193,0.021300936332128883,0.020528,0.04791259765625,fm1,segment_matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,-10,Aditya_2018-08-16_21502300_110,1,,,,-7.824831990643497,-3.5167140227524945,-32.83096674190513,-26.626531614400932,-34.34067568329372,-38.64879365118472,-30.823961660541226,-25.418508467792684,,-33.43202611438094,-27.521356740564023,,13.415674255967838,2018-08-16 22:57:26,2018-08-16 22:57:25,1534453046.0,1534453045.0,single
24,6,0.00094,1207.729468599034,95.0363196125908,1.6520000000000001,102905.56900726394,0.017872060238507834,0.002592,0.041412353515625,fm1,0.002592,150.42117930204572,105358.2179409994,13.288,105.50872968091512,0.03980260410776258,0.015880000000000002,0.0709228515625,cf1,0.015880000000000002,1121.0762331838564,94.94382022471912,1.7799999999999998,103370.78651685393,0.019298247559797047,0.01766,0.044189453125,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_111_hp,-10,Aditya_2018-08-16_21502300_111,1,,,,,-5.910669373816918,,-26.391005651009678,-33.43202611438094,,-27.521356740564023,-20.617308113537504,-34.956507608374764,-34.289642534523196,-28.001770260720082,10.472410068324317,10.564909456195993,2018-08-16 22:57:36,2018-08-16 22:57:34,1534453056.0,1534453054.0,single
25,69,0.000892,1072.961373390558,93.75,1.856,105603.44827586207,0.09544366419998476,0.002748,0.17901611328125,fm1,0.002748,134.19216317767044,107248.322147651,14.9,107.4496644295302,0.15273837858473402,0.017648,0.292572021484375,cf1,0.017648,1033.0578512396694,88.69294605809128,1.928,104253.11203319502,0.10902036892592708,0.019576,0.182159423828125,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_7_hp,-10,Aditya_2018-08-16_2324_7,2,,,,-8.6946272491916,-0.943871338424868,-35.955588639149106,-26.9981771647469,-33.49487431083133,-41.24563022159806,-32.551002972406465,-26.63790802681713,-20.40505791833711,-19.24984705298661,-16.32103648043513,13.699664429530197,18.75671837143891,2018-08-16 23:02:22,2018-08-16 23:02:21,1534453342.0,1534453341.0,multiple
26,26,0.0004480000000000001,1000.0,92.3694779116466,1.9920000000000002,104417.67068273094,0.00870407771405761,0.00244,0.0177001953125,fm1,0.00244,54.88474204171241,103892.18269653057,36.432,103.94707949055775,0.019075279479242344,0.038872,0.042633056640625,cf1,0.038872,1329.7872340425529,91.57754010695187,1.4960000000000002,102272.72727272726,0.01609657718682899,0.040368,0.036163330078125,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_10_hp,-10,Aditya_2018-08-16_2324_10,1,,,,-9.648679493449563,-4.792614823842045,-31.498669000543018,-26.974477587593327,-33.31321421059587,-38.16927888020339,-28.520599386753826,-22.016215764454177,-41.20554480090569,-35.86532927055417,-34.390581806225896,11.577601578911155,12.36953938360588,2018-08-16 23:03:04,2018-08-16 23:03:03,1534453384.0,1534453383.0,single
27,29,0.000124,5555.555555555556,96.5909090909091,0.352,107954.54545454547,0.0040595861593924025,0.000476,0.007904052734375,fm1,0.000476,143.348623853211,106569.1336775674,13.943999999999999,106.71256454388985,0.01697470710760531,0.01442,0.037750244140625,cf1,0.01442,781.25,92.86833855799374,2.552,106191.22257053287,0.010122916235117916,0.016972,0.029327392578125,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_14_hp,-10,Aditya_2018-08-16_2324_14,1,,,,-14.575181139224956,-5.8726192205208765,-34.46116490922928,-25.45320250962083,-33.408745215170704,-42.11130713387479,-27.536125994649826,-20.760784941049327,-47.830364736598334,-39.893887136538666,-35.40395421152147,10.121655452980763,13.844225985896118,2018-08-16 23:03:53,2018-08-16 23:03:52,1534453433.0,1534453432.0,single
28,31,0.0006519999999999999,3571.4285714285716,99.63768115942028,0.5519999999999999,97826.08695652174,0.010488172811164265,0.001204,0.021514892578125,fm1,0.001204,129.13223140495867,103074.1410488246,15.484,103.26788943425473,0.04363702422308224,0.016687999999999998,0.085479736328125,cf1,0.016687999999999998,992.0634920634919,91.13545816733068,2.008,102589.64143426297,0.013503014773359788,0.018696,0.02935791015625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_15_hp,-10,Aditya_2018-08-16_2324_15,1,,,,-13.59448692379073,-4.564029755571894,-34.847904831909105,-24.432911500807624,-31.500702040185214,-40.53115920840405,-26.93667228461332,-21.484525214342113,-39.58600330981339,-37.39138514378581,-27.202897465779955,3.630208274834455,12.132431266924046,2018-08-16 23:03:59,2018-08-16 23:03:59,1534453439.0,1534453439.0,single
29,41,8.8e-05,2500.0,105.52763819095476,0.796,106783.91959798997,0.06289904653915153,0.000884,0.13116455078125,fm1,0.000884,118.59582542694496,108956.10913404508,16.86,109.01542111506524,0.13353426297926532,0.017744,0.2501220703125,cf1,0.017744,954.1984732824428,89.38814531548756,2.092,107074.56978967496,0.052124877343555885,0.019836000000000003,0.11962890625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_20_hp,-10,Aditya_2018-08-16_2324_20,2,,,,-3.7242998482560576,-3.3750477869871314,-18.711041307132284,-17.273749751592142,-25.5023719484486,-25.851624009717533,-22.127324161461477,-15.685284546514351,-24.02711875593521,-25.659099079339075,-17.4881457251433,3.487782924110477,19.627275799577678,2018-08-16 23:04:39,2018-08-16 23:04:38,1534453479.0,1534453478.0,multiple
